SW Portal  (120,561)  (164,565)  (132,605)  | overflowToLeft=false
10  (684,119)  (714,159)  (669,180)  (711,203)  | overflowToLeft=false
11  (2,286)  (41,305)  (0,339)  (44,352)  | overflowToLeft=false
12  (124,295)  (121,344)  (172,300)  (211,253)  (171,355)  (216,385)  | overflowToLeft=false
13  (517,279)  (473,313)  (518,322)  | overflowToLeft=false
14  (594,298)  (634,304)  (638,343)  | overflowToLeft=false
15  (656,242)  (696,265)  (680,302)  (713,338)  | overflowToLeft=false
S 2  (360,258)  (401,267)  (433,241)  (453,267)  | overflowToLeft=false
16  (566,329)  (593,368)  (547,366)  | overflowToLeft=false
S 1  (441,313)  (426,353)  (468,364)  (382,414)  (425,397)  | overflowToLeft=false
17  (0,414)  (39,423)  (1,464)  (4,503)  | overflowToLeft=false
S 4  (245,447)  (292,409)  (336,422)  (294,457)  (288,494)  | overflowToLeft=false
18  (515,386)  (518,427)  (474,418)  (439,432)  | overflowToLeft=false
19  (560,437)  (536,486)  (585,481)  | overflowToLeft=false
S 6  (468,203)  (508,172)  (549,185)  (519,221)  | overflowToLeft=false
S 12  (56,504)  (73,547)  (97,507)  | overflowToLeft=false
S 5  (483,458)  (431,469)  (386,495)  (371,548)  (414,539)  (426,506)  | overflowToLeft=false
S 13  (536,632)  (579,636)  (622,643)  (598,593)  (637,594)  (595,544)  | overflowToLeft=false
S 10  (106,91)  (160,78)  (193,130)  (183,188)  | overflowToLeft=false
S 8  (159,462)  (205,455)  (143,511)  (186,508)  (230,510)  (210,550)  | overflowToLeft=false
S 7  (244,131)  (283,151)  (244,178)  (285,195)  | overflowToLeft=false
S 11  (75,406)  (69,454)  (123,402)  (110,450)  | overflowToLeft=false
S 9  (467,522)  (458,573)  (494,598)  (505,507)  | overflowToLeft=false
1  (12,16)  (54,7)  (17,63)  | overflowToLeft=false
2  (101,34)  (141,3)  (157,42)  | overflowToLeft=false
NE Portal  (543,104)  (585,108)  (554,142)  | overflowToLeft=false
S 18  (64,599)  (35,663)  (60,632)  | overflowToLeft=false
3  (230,15)  (259,56)  (217,67)  | overflowToLeft=false
S 19  (100,658)  (135,673)  (143,635)  | overflowToLeft=false
4  (309,16)  (351,20)  (314,70)  (330,109)  | overflowToLeft=false
S 16  (443,67)  (488,79)  (444,108)  (482,116)  | overflowToLeft=false
5  (409,15)  (458,14)  (383,68)  | overflowToLeft=false
S 17  (76,139)  (99,169)  (110,195)  (133,233)  | overflowToLeft=false
6  (658,2)  (709,9)  (690,56)  | overflowToLeft=false
S 14  (608,51)  (641,90)  (627,136)  (595,169)  | overflowToLeft=false
S 15  (529,5)  (570,2)  | overflowToLeft=false
7  (0,161)  (31,130)  (10,215)  (63,221)  (78,258)  | overflowToLeft=false
8  (361,169)  (411,170)  (376,212)  | overflowToLeft=false
9  (567,247)  (604,210)  (607,254)  | overflowToLeft=false
20  (634,391)  (649,434)  (601,425)  | overflowToLeft=false
NW Portal  (117,115)  (162,121)  (137,155)  | overflowToLeft=false
21  (687,385)  (718,425)  (685,456)  (714,496)  | overflowToLeft=false
22  (276,567)  (307,535)  (346,504)  (327,579)  | overflowToLeft=false
S3  (293,259)  (256,297)  (272,350)  (327,282)  | overflowToLeft=false
23  (639,486)  (682,527)  (628,533)  | overflowToLeft=false
24  (0,561)  (42,560)  (2,609)  | overflowToLeft=false
25  (202,622)  (245,610)  (199,665)  (238,664)  | overflowToLeft=false
26  (300,617)  (286,662)  (328,664)  (347,621)  (376,661)  | overflowToLeft=false
27  (413,585)  (421,627)  (466,648)  | overflowToLeft=false
28  (672,580)  (674,623)  (710,591)  | overflowToLeft=false
29  (0,676)  (2,715)  (42,717)  | overflowToLeft=false
30  (106,713)  (151,715)  (190,721)  (230,727)  | overflowToLeft=false
31  (267,696)  (285,732)  (329,713)  | overflowToLeft=false
32  (416,683)  (404,722)  (457,700)  (467,734)  | overflowToLeft=false
33  (536,673)  (534,719)  (588,688)  (599,726)  | overflowToLeft=false
34  (708,663)  (665,695)  (706,714)  | overflowToLeft=false
Center  (324,324)  (362,330)  (327,369)  (368,372)  | overflowToLeft=false
SE Portal  (527,553)  (569,558)  (541,597)  | overflowToLeft=false
